,Unnamed: 0,Province_left,Health region,Hospital name,Type of hospital*,Teaching status,Intensive Care,Obstetrics,Pediatrics,"Mental Health 
and Addictions ",Rehabilitation,Long-Term Care,Other Acute,Total,Postal Code,Latitude,Longitude,geometry,index_right,OBJECTID,HR_UID,Province_right,ENGNAME,FRENAME,CurrentCas,CurrentDea,CurrentRec,CurrentTes,TotalPop20,Pop0to4_20,Pop5to9_20,Pop10to14_,Pop15to19_,Pop20to24_,Pop25to29_,Pop30to34_,Pop35to39_,Pop40to44_,Pop45to49_,Pop50to54_,Pop55to59_,Pop60to64_,Pop65to69_,Pop70to74_,Pop75to79_,Pop80to84_,Pop85Older,AverageAge,MedianAge_,Last_Updat,SourceURL,GlobalID,CurrentC_1,NewCaseRat,SHAPE_Leng,SHAPE_Area
0,2,Alberta,Calgary Zone,Alberta Children’s Hospital,S-Ped,Teaching,29,0,92,12,0,0,8,141,T3B 6A8,51.0746227,-114.1484301,POINT (-114.1484301 51.0746227),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
1,3,Alberta,Calgary Zone,Canmore General Hospital,"G,E",Non-Teaching,0,0,0,0,0,23,21,44,T1W 1N2,51.0926921,-115.3508063,POINT (-115.3508063 51.0926921),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
2,4,Alberta,Calgary Zone,Claresholm General Hospital,G,Non-Teaching,0,0,0,0,0,0,16,16,T0L 0T0,50.0188664,-113.5827595,POINT (-113.5827595 50.0188664),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
3,5,Alberta,Calgary Zone,Covenant Health Mineral Springs Hospital,"G,E",Non-Teaching,0,0,0,0,0,25,22,47,T1L 1H7,51.1790455,-115.57625759999999,POINT (-115.5762576 51.1790455),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
4,6,Alberta,Calgary Zone,Didsbury District Health Services,"G,E",Non-Teaching,0,0,0,0,0,21,16,37,T0M 0W0,51.661496,-114.1236628,POINT (-114.1236628 51.661496),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
5,7,Alberta,Calgary Zone,Foothills Medical Centre,G,Teaching,107,53,0,81,45,0,779,1065,T2N 2T9,51.0652154,-114.1334883,POINT (-114.1334883 51.0652154),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
6,8,Alberta,Calgary Zone,High River General Hospital,"G,E",Non-Teaching,0,0,0,0,0,50,27,77,T1V 1B3,50.575583200000004,-113.8792152,POINT (-113.8792152 50.5755832),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
7,9,Alberta,Calgary Zone,Oilfields General Hospital,"G,E",Non-Teaching,0,0,0,0,0,30,15,45,T0L 0H0,50.6781016,-114.235151,POINT (-114.235151 50.6781016),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
8,10,Alberta,Calgary Zone,Peter Lougheed Centre,G,Teaching,51,39,12,110,0,0,285,497,T1Y 6J4,51.0789832,-113.98394509999999,POINT (-113.9839451 51.0789832),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
9,11,Alberta,Calgary Zone,Rockyview General Hospital,G,Teaching,47,40,0,70,50,0,386,593,T2V 1P9,50.9903099,-114.09741629999999,POINT (-114.0974163 50.9903099),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
10,12,Alberta,Calgary Zone,South Health Campus,G,Non-Teaching,28,24,0,36,0,0,164,252,T3M 1M4,50.8823838,-113.9509192,POINT (-113.9509192 50.8823838),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
11,13,Alberta,Calgary Zone,Strathmore District Health Services,"G,E",Non-Teaching,0,0,0,0,0,0,23,23,T1P 1J9,51.0607093,-113.38706,POINT (-113.38706 51.0607093),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
12,14,Alberta,Calgary Zone,Vulcan Community Health Centre,"G,E",Non-Teaching,0,0,0,0,0,15,8,23,T0L 2B0,50.396101200000004,-113.2588,POINT (-113.2588 50.3961012),12.0,13.0,4832,AB,Calgary Zone,Calgary Zone,7732.0,118.0,6976.0,324938.0,1732180.0,104145.0,103488.0,100608.0,92863.0,103647.0,128867.0,149840.0,154242.0,135099.0,122493.0,110502.0,112498.0,100726.0,75514.0,55778.0,34742.0,22975.0,24153.0,38.4,37.7,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{DABFF47F-913A-47FF-AF39-C8B5AD0401D4},2.0,1.707179887276644,18.074124736306345,5.043698042348913
13,15,Alberta,Central Zone,Bentley Care Centre,E,Non-Teaching,0,0,0,0,0,16,0,16,T0C 0J0,52.467729000000006,-114.0461653,POINT (-114.0461653 52.46772900000001),13.0,14.0,4833,AB,Central Zone,Central Zone,611.0,7.0,564.0,66848.0,478882.0,31210.0,30843.0,30499.0,28674.0,29515.0,30992.0,32475.0,33631.0,30134.0,28345.0,29516.0,34660.0,31939.0,24907.0,19248.0,13524.0,9224.0,9546.0,39.5,38.8,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{8387FAC0-7604-4164-A831-B9DB9996ED0E},2.0,0.686121901786721,22.344265465425313,12.625716072713281
14,16,Alberta,Central Zone,Bethany Meadows,E,Non-Teaching,0,0,0,0,0,65,0,65,T4V 4Y6,53.0079698,-112.83255859999998,POINT (-112.8325586 53.0079698),13.0,14.0,4833,AB,Central Zone,Central Zone,611.0,7.0,564.0,66848.0,478882.0,31210.0,30843.0,30499.0,28674.0,29515.0,30992.0,32475.0,33631.0,30134.0,28345.0,29516.0,34660.0,31939.0,24907.0,19248.0,13524.0,9224.0,9546.0,39.5,38.8,2020-09-06,https://www.alberta.ca/covid-19-alberta-data.aspx,{8387FAC0-7604-4164-A831-B9DB9996ED0E},2.0,0.686121901786721,22.344265465425313,12.625716072713281
